Indicador,Ano,Valor,Unidade
Menos de 1 ano de idade,2010,4350,pessoas
1 a 4 anos de idade,2010,16953,pessoas
5 a 9 anos,2010,22417,pessoas
10 a 14 anos de idade,2010,26101,pessoas
15 a 19 anos,2010,26269,pessoas
20 a 24 anos,2010,28465,pessoas
25 a 29 anos,2010,29718,pessoas
30 a 34 anos,2010,27760,pessoas
35 a 39 anos,2010,23723,pessoas
40 a 44 anos,2010,21723,pessoas
45 a 49 anos,2010,20015,pessoas
50 a 54 anos,2010,18343,pessoas
55 a 59 anos,2010,14909,pessoas
60 a 64 anos,2010,10814,pessoas
65 a 69 anos,2010,6955,pessoas
70 a 74 anos,2010,4484,pessoas
75 a 79 anos,2010,2761,pessoas
80 a 84 anos,2010,1741,pessoas
85 a 89 anos,2010,789,pessoas
90 a 94 anos,2010,266,pessoas
95 a 99 anos,2010,54,pessoas
100 anos ou mais,2010,14,pessoas
